18332	
	(-0.0024859177,0.0005867282417)	(-0.004028215258,0.001060973117)	(-0.002055491086,0.0005046402921)	(-0.003552348586,0.0009539485044)	(0.01125799131,-0.001366459598)
	(-0.00278524001,0.0007032834081)	(-0.004842995081,0.001384002859)	(-0.002576620305,0.0006754721636)	(-0.004768927721,0.001401961661)	(0.01054314827,-0.001328600003)
	(-0.002547642505,0.0006216200942)	(-0.004284426763,0.001169630989)	(-0.002333002666,0.0005927046298)	(-0.004172636219,0.001174465354)	(-4.475073382e-035,3.440925624e-036)
	(5.968778986e-035,-7.469141195e-036)	(0.01359264085,-0.00136723049)	(-9.159910782e-035,6.724993043e-036)	(1.2144922e-034,-1.449750503e-035)	(-0.000679738096,0.0001208922184)
	(-0.000907157682,0.0001668876545)	(-0.0006713587106,0.0001269997589)	(-0.0009348594481,0.0001825221951)	(-9.429545502e-035,5.609632273e-036)	(1.365930985e-034,-1.283851511e-035)
	(-0.0007159008998,0.0001214892255)	(-0.0009195257384,0.0001619459375)	(-0.0007056983046,0.0001055859312)	(-0.0008461818776,0.0001315207892)	(-9.102181761e-035,6.066668025e-036)
	(1.328107941e-034,-1.408866115e-035)	(-4.437060969e-035,2.996459917e-036)	(6.509934294e-035,-7.435241591e-036)	(0.0143782527,-0.001329665149)	(-0.0006946921039,0.0001099258105)
	(-0.0008511951867,0.0001396599361)	(-4.620443951e-035,2.922014046e-036)	(6.725386001e-035,-6.733854358e-036)	(0.01496801505,-0.001247687)	(-9.081713147e-035,4.739562493e-036)
	(1.466931245e-034,-1.191400519e-035)	(-0.0006981486962,9.094139846e-005)	(-0.0007765289505,0.0001058702025)	(-0.0007275959428,0.0001024086043)	(-0.0008510058306,0.0001250236269)
	(-4.521760272e-035,2.433275896e-036)	(7.210253199e-035,-6.376651858e-036)	(0.01567723682,-0.001158257075)	(-0.002709407981,0.0009115804956)	(-0.00908397623,0.003733945846)
	(-0.003029580403,0.001012862567)	(-0.009339019539,0.003886409821)	(-0.002455198454,0.0008391241389)	(-0.009237780851,0.003862867652)	(0.004965917086,-0.0007186508713)
	(-0.002257110985,0.0007814668933)	(-0.009457408665,0.004034431811)	(-0.002532008366,0.0008706542026)	(-0.009566947071,0.004100432461)	(-0.002758948536,0.0009372330066)
	(-0.009460405782,0.004000800281)	(-0.00333415899,0.001109128129)	(-0.009547750587,0.004034799247)	(-0.003575902719,0.001185384142)	(-0.00967173888,0.004146855857)
	(-0.002048546099,0.0007170610318)	(-0.009647548268,0.00419239084)	(0.003876250559,-0.0005532786367)	(-0.001977158092,0.0006971466862)	(-0.009883098252,0.004402064235)
	(-0.00231490895,0.0008053261932)	(-0.009726901283,0.004245341791)	(-0.002240092324,0.0007852065707)	(-0.009910878502,0.00442718189)	(-0.001602804476,0.0005718332214)
	(-0.01003568579,0.004581112133)	(-0.001885282571,0.0006686815724)	(-0.01001924552,0.004563656006)	(0.003237434992,-0.0004238582957)	(-0.001752038853,0.0006248908526)
	(-0.01007669483,0.004707124606)	(-0.002007367004,0.0007126009439)	(-0.01005149302,0.004710657055)	(-0.002141877854,0.0007556803582)	(-0.01001848126,0.004576344822)
